x,y
1,3.000000
2,2.000000
3,2.000000
4,2.000000
5,3.000000
6,3.000000
7,2.000000
8,3.000000
9,2.500000
10,4.000000
11,2.000000
12,5.000000
13,3.000000
14,2.333333
15,2.500000
16,3.000000
17,3.000000
18,4.000000
19,3.000000
20,3.000000
21,3.500000
22,3.000000
23,3.500000
24,5.500000
25,4.333333
26,4.750000
27,3.000000
28,3.333333
29,4.000000
30,2.000000
31,4.333333
32,3.500000
33,4.800000
34,2.333333
35,2.733333
36,3.750000
37,5.000000
38,6.000000
39,3.500000
40,5.500000
41,4.555556
42,4.000000
43,3.166667
44,2.142857
45,4.000000
46,2.500000
47,3.500000
48,7.500000
49,3.250000
50,4.000000
51,3.285714
52,3.900000
53,2.611111
54,1.955556
55,3.714286
56,3.000000
57,6.666667
58,6.600000
59,6.250000
60,7.100000
61,4.222222
62,4.333333
63,2.750000
64,2.353535
65,1.770270
66,3.888889
67,3.000000
68,4.000000
69,4.333333
70,3.000000
71,7.750000
72,3.800000
73,5.333333
74,2.900000
75,3.000000
76,2.146341
77,1.799043
78,3.750000
79,3.500000
80,9.000000
81,11.000000
82,10.076923
83,8.538462
84,6.181818
85,5.370370
86,3.613636
87,3.466667
88,2.288043
89,0.782123
90,1.285319
91,3.866667
92,4.000000
93,5.750000
94,11.714286
95,4.857143
96,10.130435
97,4.333333
98,3.625000
99,3.500000
100,3.648855
101,2.791667
102,2.508547
103,1.793103
104,1.334034
105,3.888889
106,4.500000
107,10.833333
108,4.800000
109,11.400000
110,3.428571
111,4.454545
112,8.954955
113,5.113208
114,2.956522
115,3.105263
116,2.976285
117,1.684783
118,1.566992
119,1.052229
120,3.863636
121,4.500000
122,8.200000
123,16.818182
124,2.857143
125,12.080000
126,5.117647
127,9.396552
128,3.818182
129,5.326389
130,3.428571
131,3.379699
132,1.666667
133,1.839899
134,1.266830
135,1.012545
136,4.346154
137,5.000000
138,15.125000
139,18.636364
140,17.440000
141,14.423077
142,10.104167
143,10.655738
144,7.000000
145,6.018634
146,4.056911
147,3.652778
148,2.187135
149,1.996151
150,1.416865
151,0.960223
152,0.457076
153,4.258065
154,5.000000
155,10.571429
156,7.142857
157,7.416667
158,15.192308
159,3.600000
160,11.349206
161,5.842105
162,3.562500
163,3.860656
164,4.205387
165,3.156250
166,2.495697
167,1.551282
168,1.434389
169,0.969470
170,0.773222
171,4.055556
172,5.500000
173,19.545455
174,25.823529
175,19.846154
176,20.020833
177,12.326923
178,13.328125
179,8.239669
180,7.751592
181,5.220930
182,4.930693
183,2.839858
184,2.829384
185,1.900615
186,1.461019
187,0.357236
188,0.646605
189,0.368686
190,3.902439
191,4.000000
192,17.625000
193,25.882353
194,4.100000
195,4.181818
196,7.806452
197,13.738462
198,2.833333
199,9.123944
200,3.619048
201,5.373134
202,1.983607
203,3.136842
204,1.605791
205,1.844660
206,1.266667
207,0.630187
208,0.618741
209,0.669325
210,3.893617
211,4.333333
212,24.875000
213,11.888889
214,29.377778
215,24.276596
216,6.142857
217,3.562500
218,9.786260
219,5.617021
220,7.043636
221,6.748387
222,2.551181
223,3.500734
224,2.940000
225,1.946939
226,1.291471
227,1.249450
228,1.057944
229,0.443604
230,0.420903
